               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.098749,            0.038683,            0.042567,             0.40562,            0.010989,            0.001621,          0.00029142,            0.090468,            0.028318,            0.045361,             0.00088,             0.00088,             0.08328
                   1,            0.084981,            0.041568,            0.033941,             0.85472,            0.056593,            0.040331,           0.0096592,            0.073876,            0.031566,            0.041188,            0.001765,            0.001765,            0.066465
                   2,            0.073383,            0.039075,            0.026426,             0.20148,             0.20868,             0.13503,            0.039545,              0.0628,            0.024222,            0.036959,           0.0026497,           0.0026497,             0.04965
                   3,            0.066607,            0.033704,            0.020869,             0.22402,             0.42798,             0.23196,            0.083959,            0.053014,            0.019575,            0.031156,           0.0035342,           0.0035342,            0.032834
                   4,            0.061161,            0.031259,            0.019412,             0.23113,             0.39196,              0.2177,            0.073006,            0.056552,            0.019218,            0.030577,           0.0044183,           0.0044183,            0.016018
                   5,            0.057806,            0.030007,             0.01892,             0.29613,             0.55223,             0.35772,             0.16306,            0.044586,            0.020944,            0.028875,           0.0049969,           0.0049969,           0.0049969
                   6,            0.053523,            0.029625,            0.017958,             0.29313,             0.55199,             0.37177,             0.13933,            0.047586,            0.016921,            0.028336,           0.0049969,           0.0049969,           0.0049969
                   7,            0.049786,            0.028283,            0.017894,             0.30454,             0.52582,             0.38065,             0.18564,            0.044634,            0.018154,            0.028006,           0.0049956,           0.0049956,           0.0049956
                   8,            0.047405,             0.02725,            0.017403,             0.35901,              0.6887,             0.50415,             0.23693,            0.038743,            0.014829,            0.025599,            0.004994,            0.004994,            0.004994
                   9,            0.046327,            0.026778,            0.016812,             0.37045,             0.57739,             0.50956,             0.29064,            0.034185,            0.014934,            0.025983,           0.0049921,           0.0049921,           0.0049921
                  10,            0.045025,            0.026101,            0.016201,             0.46437,             0.64472,             0.58707,             0.34338,            0.033118,            0.014199,            0.023238,             0.00499,             0.00499,             0.00499
                  11,              0.0441,            0.025829,             0.01496,             0.49749,             0.61201,             0.57975,             0.34003,            0.032927,            0.014922,              0.0223,           0.0049877,           0.0049877,           0.0049877
                  12,            0.043337,            0.024514,            0.015344,             0.47034,             0.62732,              0.5541,             0.31078,            0.036368,            0.014712,             0.02255,           0.0049851,           0.0049851,           0.0049851
                  13,            0.042858,             0.02524,            0.014355,             0.52285,             0.72484,             0.63076,             0.35567,            0.034002,            0.014057,            0.019029,           0.0049823,           0.0049823,           0.0049823
                  14,            0.042671,            0.025472,            0.013506,             0.58394,              0.7063,             0.66208,              0.3845,            0.032006,            0.013423,            0.018747,           0.0049792,           0.0049792,           0.0049792
                  15,            0.041994,             0.02446,            0.013799,             0.62049,             0.69094,             0.65157,             0.38878,            0.031398,            0.013367,            0.018961,           0.0049759,           0.0049759,           0.0049759
                  16,             0.04072,            0.024489,            0.012564,             0.59006,             0.64882,             0.64141,              0.4022,            0.031086,            0.013958,            0.018326,           0.0049723,           0.0049723,           0.0049723
                  17,             0.04086,            0.023551,            0.012953,              0.5936,             0.70637,              0.6384,             0.36954,            0.032931,             0.01391,             0.01857,           0.0049685,           0.0049685,           0.0049685
                  18,            0.039614,            0.024007,            0.012274,             0.57966,             0.76269,             0.70187,             0.43683,            0.029977,            0.013695,            0.017444,           0.0049644,           0.0049644,           0.0049644
                  19,            0.040087,            0.023612,            0.012346,             0.62505,             0.74947,              0.6916,             0.42139,            0.033332,            0.013933,            0.016589,           0.0049601,           0.0049601,           0.0049601
                  20,            0.040051,            0.023325,            0.011788,             0.67765,              0.7525,             0.73156,             0.44355,            0.030808,            0.012787,            0.016093,           0.0049556,           0.0049556,           0.0049556
                  21,            0.038976,             0.02308,            0.012061,             0.69314,             0.74146,             0.74023,             0.47035,            0.028928,            0.012767,             0.01542,           0.0049508,           0.0049508,           0.0049508
                  22,            0.038439,            0.023153,            0.011656,             0.71479,             0.78248,             0.77211,             0.48527,            0.029405,            0.012637,            0.013725,           0.0049458,           0.0049458,           0.0049458
                  23,            0.038773,            0.023609,            0.010812,             0.67758,             0.79076,             0.76138,             0.46797,             0.02954,            0.012737,            0.014467,           0.0049406,           0.0049406,           0.0049406
