               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094378,            0.039399,            0.039391,            0.034766,             0.33861,            0.055547,            0.013578,            0.068407,            0.026074,             0.04544,             0.00088,             0.00088,             0.08328
                   1,            0.067057,            0.034151,            0.025056,             0.22802,             0.51792,             0.24032,            0.088995,            0.051324,            0.017975,            0.031724,            0.001765,            0.001765,            0.066465
                   2,            0.059687,            0.029835,            0.019981,             0.25194,             0.44707,             0.26382,             0.11597,            0.049794,            0.020069,            0.031222,           0.0026497,           0.0026497,             0.04965
                   3,            0.057293,            0.028059,            0.019488,             0.26211,             0.51079,             0.31986,             0.15346,            0.043882,            0.017892,            0.029437,           0.0035342,           0.0035342,            0.032834
                   4,            0.052655,            0.027184,            0.018769,             0.29436,              0.6087,             0.41852,               0.201,            0.041343,            0.016651,            0.029156,           0.0044183,           0.0044183,            0.016018
                   5,            0.050697,            0.026559,            0.018657,             0.34279,             0.56943,             0.46112,             0.23741,             0.03936,            0.016144,             0.02747,           0.0049969,           0.0049969,           0.0049969
                   6,            0.047459,            0.026615,            0.017661,             0.47971,             0.50428,             0.50367,              0.2523,            0.036961,            0.015222,            0.025875,           0.0049969,           0.0049969,           0.0049969
                   7,            0.044438,            0.025038,            0.016314,             0.48745,             0.52798,              0.4898,             0.29677,            0.036259,            0.016747,            0.023272,           0.0049956,           0.0049956,           0.0049956
                   8,            0.042868,            0.025696,            0.014808,              0.5398,             0.59578,             0.53136,             0.32487,            0.035754,            0.015511,            0.021637,            0.004994,            0.004994,            0.004994
                   9,            0.041492,            0.024191,            0.014668,             0.55644,             0.66778,             0.58075,              0.3567,            0.033274,            0.014377,            0.022467,           0.0049921,           0.0049921,           0.0049921
